#ZVView-data-copy:  22-Mar-2020 05:11:12
#=======================================
#
#name:   40-ZR-91(N,P)39-Y-91-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  57
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          5.38            0      0.00018         5e-5  # 1991,P.Raics+            ## 30988004  #dY:27.8%  
          5.89            0      0.00042         4e-5  # 1991,P.Raics+            ## 30988004  #dY:9.5%   
         6.102        0.125      0.00068         7e-5  # 1990,M.Ibn Majah+        ## 22144004  #dY:10.3%  
          6.39            0      0.00082         6e-5  # 1991,P.Raics+            ## 30988004  #dY:7.3%   
          6.48        0.189      0.00095       0.0001  # 1990,M.Ibn Majah+        ## 22144004  #dY:10.5%  
           6.8            0      0.00095         6e-5  # 1991,P.Raics+            ## 30988004  #dY:6.3%   
          7.16         0.17      0.00168       0.0002  # 1998,R.Doczi+            ## 31495010  #dY:11.9%  
          7.18        0.127       0.0017      0.00018  # 1990,M.Ibn Majah+        ## 22144004  #dY:10.6%  
         7.704         0.13      0.00239      0.00024  # 1990,M.Ibn Majah+        ## 22144004  #dY:10.0%  
           8.2            0      0.00234      0.00014  # 1991,P.Raics+            ## 30988004  #dY:6.0%   
         8.215        0.128      0.00363       0.0004  # 1990,M.Ibn Majah+        ## 22144010  #dY:11.0%  
          8.43            0      0.00266      0.00015  # 1991,P.Raics+            ## 30988004  #dY:5.6%   
         8.716         0.14      0.00459       0.0005  # 1990,M.Ibn Majah+        ## 22144010  #dY:10.9%  
          8.92            0      0.00335       0.0001  # 1991,P.Raics+            ## 30988004  #dY:3.0%   
         9.187        0.188      0.00527      0.00054  # 1990,M.Ibn Majah+        ## 22144010  #dY:10.2%  
          9.43            0       0.0022      0.00026  # 1991,P.Raics+            ## 30988004  #dY:11.8%  
         9.643        0.214       0.0067       0.0007  # 1990,M.Ibn Majah+        ## 22144010  #dY:10.4%  
          9.92         0.19      0.00415       0.0005  # 1998,R.Doczi+            ## 31495010  #dY:12.0%  
        10.127        0.226      0.00709      0.00072  # 1990,M.Ibn Majah+        ## 22144010  #dY:10.2%  
         10.23            0      0.00351      0.00017  # 1991,P.Raics+            ## 30988004  #dY:4.8%   
        10.614        0.221      0.00965        0.001  # 1990,M.Ibn Majah+        ## 22144010  #dY:10.4%  
         10.95            0      0.00723      0.00026  # 1991,P.Raics+            ## 30988004  #dY:3.6%   
         11.34         0.22       0.0096       0.0005  # 1998,R.Doczi+            ## 31495010  #dY:5.2%   
         11.44         0.21       0.0138        0.001  # 2001,M.Ibn Majah+        ## 22664006  #dY:7.2%   
         11.56            0      0.00675      0.00025  # 1991,P.Raics+            ## 30988004  #dY:3.7%   
         12.25            0      0.01288      0.00031  # 1991,P.Raics+            ## 30988004  #dY:2.4%   
         12.37          0.2       0.0176        0.001  # 2001,M.Ibn Majah+        ## 22664006  #dY:5.7%   
         12.53         0.25        0.011        0.001  # 1998,R.Doczi+            ## 31495010  #dY:9.1%   
         13.33            0      0.01603      0.00093  # 1988,Y.Ikeda+            ## 22089056  #dY:5.8%   
          13.4          0.4       0.0131       0.0019  # 1990,A.Marcinkowski+     ## 30940003  #dY:14.5%  
         13.57            0       0.0163      0.00092  # 1988,Y.Ikeda+            ## 22089056  #dY:5.6%   
          13.6          0.3       0.0148       0.0016  # 1990,A.Marcinkowski+     ## 30940003  #dY:10.8%  
          14.1            0       0.0175       0.0008  # 1960,C.H.Reed            ## 11896007  #dY:4.6%   
          14.2          0.2       0.0123       0.0014  # 1978,C.V.Srinivasa Rao   ## 30574011  #dY:11.4%  
          14.2          0.3       0.0162       0.0017  # 1990,A.Marcinkowski+     ## 30940003  #dY:10.5%  
          14.4         0.15       0.0186       0.0019  # 1970,W.D.Lu+             ## 10145003  #dY:10.2%  
         14.43            0       0.0177        0.001  # 1988,Y.Ikeda+            ## 22089056  #dY:5.6%   
          14.6            0       0.0214       0.0022  # 1977,Y.Fujino+           ## 20850003  #dY:10.3%  
          14.6         0.12        0.024       0.0012  # 1993,A.Grallert+         ## 31496038  #dY:5.0%   
         14.67            0       0.0183        0.001  # 1988,Y.Ikeda+            ## 22089056  #dY:5.5%   
          14.7         0.15       0.0142       0.0012  # 1974,S.M.Qaim+           ## 20513013  #dY:8.5%   
          14.7          0.3       0.0185       0.0007  # 1985,B.Anders+           ## 21976027  #dY:3.8%   
          14.8          0.2       0.0195       0.0015  # 2010,V.Semkova+          ## 22822004  #dY:7.7%   
          14.8          0.3       0.0171       0.0017  # 1990,A.Marcinkowski+     ## 30940003  #dY:9.9%   
          14.8            0        0.022        0.002  # 1998,Ranjita Sarkar+     ## 31488003  #dY:9.1%   
          14.8            0       0.0217       0.0018  # 1986,V.V.Ovechkin+       ## 40923004  #dY:8.3%   
         14.94            0       0.0186        0.001  # 1988,Y.Ikeda+            ## 22089056  #dY:5.4%   
          15.2          0.2       0.0173       0.0018  # 1990,A.Marcinkowski+     ## 30940003  #dY:10.4%  
          15.3          0.2        0.021        0.002  # 2010,V.Semkova+          ## 22822004  #dY:9.5%   
          15.4          0.2        0.016       0.0019  # 1990,A.Marcinkowski+     ## 30940003  #dY:11.9%  
          15.9          0.5       0.0183       0.0029  # 1990,A.Marcinkowski+     ## 30940003  #dY:15.8%  
          16.3          0.2        0.021        0.002  # 2010,V.Semkova+          ## 22822004  #dY:9.5%   
          16.6          0.1       0.0228       0.0039  # 1990,A.Marcinkowski+     ## 30940003  #dY:17.1%  
          18.1          0.2        0.022        0.003  # 2010,V.Semkova+          ## 22822004  #dY:13.6%  
            19          0.2        0.019        0.002  # 2010,V.Semkova+          ## 22822004  #dY:10.5%  
